,year,word,tf,n,idf,tf_idf
126880,1940,1940-41,0.0005066711704104037,18,1.7047480922384253,0.0008637467111493457
126883,1940,flyvepladsen,0.0005066711704104037,18,1.7047480922384253,0.0008637467111493457
126918,1940,eksercerplads,0.0004503743736981366,16,1.7047480922384253,0.000767774854354974
127099,1940,stadsdyrlægen,0.00028148398356133537,10,2.3978952727983707,0.0006749691135501803
127031,1940,landbosparekassen,0.00033778078027360244,12,1.7047480922384253,0.0005758311407662304
127243,1940,regnfrakke,0.0002251871868490683,8,2.3978952727983707,0.0005399752908401443
127389,1940,1940-,0.00016889039013680122,6,2.3978952727983707,0.0004049814681301082
127254,1940,tegnere,0.0002251871868490683,8,1.7047480922384253,0.000383887427177487
126786,1940,krigsministeriet,0.000788155153971739,28,0.4519851237430572,0.00035623440479664475
127587,1940,klippe,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127629,1940,servitutbelægges,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127634,1940,sommerlyst,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127637,1940,stortrøje,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127152,1940,overtrækstøj,0.00025333558520520183,9,1.2992829841302609,0.0003291546151318006
