gender,income,criminals,diffrace,leftwings,alcoholics,rightwings,manykids,neurotics,muslims,imigrants,aids,addicts,homoseksuals,jews,gypsies,age,edu,id
1,450000,0,1,0,0,0,0,0,1,1,0,1,1,0,0,57,0,156
2,84000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,157
2,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,158
1,400000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,1,159
1,500000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,54,3,160
1,250000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,50,3,161
1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,162
2,200000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,56,2,163
2,350000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25,1,164
2,450000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,35,1,165
1,700000,0,0,0,1,0,0,0,1,1,0,1,1,0,0,55,0,166
2,300000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,56,0,167
2,500000,1,0,0,1,0,0,0,1,0,1,1,0,0,1,55,0,168
2,500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,3,169
1,125000,1,1,0,1,0,0,1,1,1,1,1,1,1,1,54,1,170
2,500000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,44,3,171
2,375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,172
2,430000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,4,173
2,300000,1,0,1,0,1,0,0,0,0,0,1,0,0,0,19,0,174
1,550000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,49,1,175
2,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,176
2,200000,1,0,1,0,0,0,0,0,0,0,1,0,0,0,37,3,177
1,280000,1,1,1,1,1,0,0,1,1,0,1,0,1,1,32,1,178
1,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,179
2,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,180
1,500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,0,181
2,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,182
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,183
1,80000,1,0,0,1,1,0,0,0,0,0,1,0,0,0,24,0,184
2,210000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,1,185
2,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,186
2,300000,1,0,0,1,0,0,0,0,1,0,1,0,0,0,42,3,187
1,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,188
1,550000,1,0,1,1,1,0,0,0,0,0,1,0,0,0,49,3,189
2,390000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,21,1,190
1,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,191
2,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,192
1,450000,1,1,0,0,0,0,0,0,1,0,1,0,0,0,58,0,193
1,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,194
2,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,195
2,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,196
2,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,197
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,198
2,325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,199
2,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,200
2,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,201
2,275000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54,0,202
1,350000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,60,1,203
1,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,204
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,205
1,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,206
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,207
2,450000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,1,208
1,375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,209
2,350000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,1,210
1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,211
1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,212
2,275000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,42,0,213
1,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,214
2,450000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33,1,215
1,375000,0,0,0,1,0,0,0,0,0,0,1,0,0,1,26,1,216
1,110000,0,0,1,1,1,0,0,0,0,0,1,0,0,0,25,3,217
1,264000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,65,0,218
2,160000,0,0,0,1,0,0,0,0,0,1,1,1,0,1,70,0,219
1,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,220
1,500000,1,1,1,1,1,0,1,1,1,1,1,1,1,1,50,1,221
1,450000,1,1,1,0,0,0,1,1,1,0,1,1,0,0,27,3,222
2,45000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24,4,223
1,350000,0,0,0,1,1,0,0,0,0,0,0,0,0,1,58,1,224
1,500000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1,225
2,500000,1,0,0,0,1,0,0,1,0,0,1,0,0,0,35,3,226
1,170000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,227
2,400000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,1,228
2,450000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,1,229
2,100000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,230
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,231
1,485000,1,1,1,1,1,0,1,1,1,1,1,1,1,1,53,1,232
1,150000,1,0,0,1,0,0,0,0,0,1,1,1,0,0,67,0,233
2,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,234
1,400000,1,0,0,1,0,0,1,0,0,0,1,0,0,0,35,1,235
2,130000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,57,0,236
1,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,237
2,300000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,63,2,238
2,600000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,55,2,239
1,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,240
2,400000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,47,3,241
2,100000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,67,0,242
2,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,243
1,300000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,45,1,244
1,400000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21,2,245
1,390000,1,0,0,0,0,0,1,0,0,0,1,0,0,0,32,1,246
1,700000,0,0,0,1,0,0,0,1,0,0,1,0,0,0,41,3,247
1,430000,1,0,1,0,0,0,0,0,0,0,1,0,0,0,21,0,248
1,250000,1,0,0,1,0,0,0,1,0,0,1,1,0,0,44,0,249
1,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,250
1,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,251
1,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,252
1,400000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,51,1,253
1,800000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,254
2,750000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,3,255
1,191500,0,0,1,0,1,0,1,1,1,0,1,0,0,0,53,1,256
1,475000,0,0,0,1,0,0,0,1,1,0,1,0,0,0,29,2,257
1,600000,1,0,0,1,0,0,0,1,0,0,1,0,0,1,46,1,258
2,480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,259
2,380000,0,0,0,1,0,0,0,1,0,0,1,0,0,0,31,1,260
2,103000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,261
2,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,262
2,420000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,41,2,263
1,500000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,54,3,264
1,400000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,64,0,265
2,250000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,39,1,266
1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,267
2,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,268
1,450000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,269
2,430000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,28,3,270
1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,271
2,500000,1,0,0,1,1,0,1,0,0,0,0,0,0,0,23,2,272
2,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,273
1,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,274
2,500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,2,275
